subscription_id,account_id,plan_type,status,mrr_amount,currency,start_date,end_date,trial_end_date,created_at,updated_at,billing_period,customer_segment,payment_method,discount_percentage
SUB-001,ACC-1001,Professional,active,299,USD,15/01/2024,NULL,22/01/2024,15/01/2024 10:30,15/01/2024 10:30,monthly,Enterprise,credit_card,0
SUB-002,ACC-1002,Starter,active,49,USD,20/01/2024,NULL,27/01/2024,20/01/2024 14:22,20/01/2024 14:22,monthly,SMB,credit_card,10
SUB-003,ACC-1003,Professional,churned,299,USD,01/02/2024,30/04/2024,08/02/2024,01/02/2024 09:15,30/04/2024 23:59,monthly,Enterprise,paypal,0
SUB-004,ACC-1004,Enterprise,active,999,USD,15/02/2024,NULL,NULL,15/02/2024 11:00,15/02/2024 11:00,annual,Enterprise,invoice,15
SUB-005,ACC-1005,Starter,active,-49,USD,01/03/2024,NULL,08/03/2024,01/03/2024 08:45,01/03/2024 08:45,monthly,SMB,credit_card,0
SUB-006,ACC-1006,Professional,active,299,EUR,10/03/2024,NULL,17/03/2024,10/03/2024 16:30,10/03/2024 16:30,monthly,Mid-Market,credit_card,20
SUB-007,ACC-1007,Starter,trial,0,USD,15/03/2024,NULL,29/03/2024,15/03/2024 12:00,15/03/2024 12:00,monthly,SMB,NULL,0
SUB-008,ACC-1008,Professional,active,299,USD,03/20/2024,NULL,03/27/2024,20/03/2024 10:00,20/03/2024 10:00,monthly,Enterprise,credit_card,0
SUB-009,ACC-1009,Enterprise,active,11988,USD,01/04/2024,NULL,NULL,01/04/2024 09:30,01/04/2024 09:30,annual,Enterprise,invoice,0
SUB-010,ACC-1010,Starter,paused,49,USD,05/04/2024,NULL,12/04/2024,05/04/2024 14:15,01/06/2024 10:00,monthly,,credit_card,0
SUB-011,ACC-1011,Professional,active,299,USD,10/04/2024,10/03/2024,17/04/2024,10/04/2024 11:45,10/04/2024 11:45,monthly,Mid-Market,credit_card,10
SUB-012,ACC-1012,Starter,active,49,USD,15/04/2024,NULL,22/04/2024,15/04/2024 15:30,15/04/2024 15:30,monthly,SMB,paypal,0
SUB-013,ACC-1013,Professional,cancelled,299,USD,01/05/2024,31/05/2024,08/05/2024,01/05/2024 08:00,15/05/2024 16:00,monthly,Enterprise,credit_card,100
SUB-014,ACC-1014,Enterprise,active,999,USD,10/05/2024,NULL,NULL,10/05/2024 10:30,10/05/2024 10:30,quarterly,Enterprise,invoice,5
SUB-015,ACC-1015,Starter,active,49,USD,15/05/2024,NULL,22/05/2024,15/05/2024 13:20,15/05/2024 13:20,monthly,SMB,credit_card,0
