event_id,account_id,event_date,active_users,api_calls,storage_gb,projects_created,integrations_used,support_tickets,feature_a_usage,feature_b_usage,feature_c_usage,session_duration_mins,mobile_usage_mins
EVT-00001,ACC-1001,16/01/2024,15,2500,12.5,3,5,0,45,30,22,480.5,120
EVT-00002,ACC-1001,17/01/2024,14,2300,12.7,1,5,1,42,28,20,460,115.5
EVT-00003,ACC-1002,21/01/2024,3,150,0.5,1,1,0,10,5,0,120,30
EVT-00004,ACC-1002,22/01/2024,3,175,0.5,0,1,0,12,6,0,135,35
EVT-00005,ACC-1003,02/02/2024,8,1200,5.2,2,3,0,25,18,15,320,60
EVT-00006,ACC-1003,03/02/2024,-5,1100,5.3,0,3,0,23,17,14,310,58
EVT-00007,ACC-1004,16/02/2024,25,8500,45,5,8,2,120,85,60,720,180
EVT-00008,ACC-1004,02/17/2024,24,8200,45.5,2,8,0,118,83,58,700,175
EVT-00009,ACC-1005,02/03/2024,2,100,0.3,0,0,1,5,2,0,60,15
EVT-00010,ACC-1005,03/03/2024,2,NULL,0.3,0,0,0,5,2,0,65,16
EVT-00011,ACC-1006,11/03/2024,10,1800,8,3,4,0,35,25,18,420,90
EVT-00012,ACC-1006,12/03/2024,9,1750,8.2,1,4,0,33,24,17,400,85
EVT-00013,ACC-1007,16/03/2024,1,50,0.1,1,0,0,3,1,0,30,10
EVT-00014,ACC-1007,17/03/2024,1,45,0.1,0,0,0,2,1,0,25,8
EVT-00015,ACC-1008,21/03/2024,7,1000,4.5,2,2,0,20,15,10,280,50
EVT-00016,ACC-1008,22/03/2024,7,1050,4.6,0,2,1,22,16,11,290,52
EVT-00017,ACC-1009,02/04/2024,30,12000,60,8,10,0,150,100,75,960,240
EVT-00018,ACC-1009,03/04/2024,999,11800,60.5,3,10,0,148,98,73,950,235
EVT-00019,ACC-1010,06/04/2024,2,120,0.4,0,1,0,8,3,0,90,20
EVT-00020,ACC-1010,02/06/2024,2,130,0.4,0,1,0,9,4,0,95,22
EVT-00021,ACC-1011,09/03/2024,6,900,3.5,1,2,0,18,12,8,240,45
EVT-00022,ACC-1011,11/04/2024,6,920,3.6,0,2,0,19,13,9,250,47
EVT-00023,ACC-1012,16/04/2024,3,200,0.8,1,1,0,15,8,2,150,40
EVT-00024,ACC-1012,17/04/2024,3,210,0.8,0,1,0,16,9,3,155,42
EVT-00025,ACC-1013,02/05/2024,8,1300,6,2,3,1,28,20,16,360,70
EVT-00026,ACC-1013,03/05/2024,8,1250,6.1,0,3,0,27,19,15,350,68
EVT-00027,ACC-1014,11/05/2024,20,6000,30,4,6,0,90,60,45,600,150
EVT-00028,ACC-1014,12/05/2024,19,5800,30.2,1,6,0,88,58,43,580,145
EVT-00029,ACC-1015,16/05/2024,2,80,0.2,0,0,0,4,1,0,45,12
EVT-00030,ACC-1015,17/05/2024,,90,0.2,0,0,0,4,2,0,50,13
EVT-00031,ACC-1016,21/05/2024,5,750,2.5,1,2,2,15,10,7,200,35
EVT-00032,ACC-1016,22/05/2024,5,780,2.6,0,2,0,16,11,8,210,37
EVT-00033,ACC-1017,02/06/2024,2,100,0.3,0,1,0,6,3,0,70,18
EVT-00034,ACC-1017,01/08/2024,2,110,0.3,0,1,0,6,3,0,75,19
EVT-00035,ACC-1018,06/06/2024,7,1100,4.8,2,3,0,24,17,12,300,55
EVT-00036,ACC-1018,07/06/2024,7,1150,4.9,0,3,0,25,18,13,310,57
EVT-00037,ACC-1019,11/06/2024,22,7000,35,5,7,1,100,70,50,720,180
EVT-00038,ACC-1019,12/06/2024,21,6800,35.5,2,7,0,98,68,48,700,175
EVT-00039,ACC-1020,16/06/2024,3,180,0.6,1,1,0,12,6,1,130,32
EVT-00040,ACC-1020,17/06/2024,3,190,0.6,0,1,0,13,7,2,135,33
EVT-00041,ACC-1003,21/06/2024,8,1400,6.5,2,3,0,30,22,17,380,75
EVT-00042,ACC-1003,22/06/2024,8,1450,6.6,0,3,0,31,23,18,390,77
EVT-00043,ACC-1022,02/07/2024,1,30,0.05,1,0,0,1,0,0,15,5
EVT-00044,ACC-1022,03/07/2024,1,35,0.05,0,0,0,1,0,0,18,6
EVT-00045,ACC-1023,06/07/2024,6,850,3,1,2,0,20,14,9,260,48
EVT-00046,ACC-1023,07/07/2024,6,870,3.1,0,2,0,21,15,10,270,50
EVT-00047,ACC-9999,11/07/2024,18,5000,25,3,5,0,80,55,40,540,135
EVT-00048,ACC-8888,12/07/2024,15,4500,20,2,4,0,70,50,35,480,120
EVT-00049,ACC-1025,16/07/2024,2,95,0.25,0,1,0,5,2,0,55,14
EVT-00050,ACC-1025,17/07/2024,2,100,0.25,0,1,0,5,3,0,60,15
EVT-00051,ACC-1026,21/07/2024,7,1050,4.2,1,2,0,22,16,11,290,52
EVT-00052,ACC-1026,22/07/2024,0,0,0,0,0,0,0,0,0,0,0
EVT-00053,ACC-1027,02/08/2024,3,160,0.5,0,1,0,10,5,1,110,28
EVT-00054,ACC-1027,03/08/2024,3,170,0.5,0,1,0,11,6,1,115,29
EVT-00055,ACC-1028,06/08/2024,9,1500,7,2,4,0,32,24,18,400,85
EVT-00056,ACC-1028,07/08/2024,9,1550,7.2,0,4,0,33,25,19,410,87
